subject_id,in_gard,in_mondo,status
GARD:10423,True,True,both
GARD:10424,True,True,both
GARD:10427,True,True,both
GARD:10428,True,True,both
GARD:10429,True,True,both
GARD:10430,True,True,both
GARD:10432,True,True,both
GARD:10433,True,True,both
GARD:10434,True,True,both
GARD:10435,True,True,both
GARD:10436,True,True,both
GARD:10437,True,True,both
GARD:1044,True,True,both
GARD:10443,True,True,both
GARD:10445,True,True,both
GARD:10453,True,True,both
GARD:10457,True,True,both
GARD:10460,True,True,both
GARD:10467,True,True,both
GARD:10469,True,True,both
GARD:10471,True,True,both
GARD:10472,True,True,both
GARD:10474,True,True,both
GARD:10475,True,True,both
GARD:10476,True,True,both
GARD:10477,True,True,both
GARD:10480,True,True,both
GARD:10484,True,True,both
GARD:10486,True,True,both
GARD:10487,True,True,both
GARD:10488,True,True,both
GARD:10489,True,True,both
GARD:1049,True,True,both
GARD:10490,True,True,both
GARD:10491,True,True,both
GARD:10493,True,True,both
GARD:10494,True,True,both
GARD:10496,True,True,both
GARD:10498,True,True,both
GARD:10499,True,True,both
GARD:105,True,True,both
GARD:10500,True,True,both
GARD:10501,True,True,both
GARD:10502,True,True,both
GARD:10504,True,True,both
GARD:10505,True,True,both
GARD:10506,True,True,both
GARD:10508,True,True,both
GARD:10509,True,True,both
GARD:1051,True,True,both
GARD:10510,True,True,both
GARD:10511,True,True,both
GARD:10513,True,True,both
GARD:10514,True,True,both
GARD:10515,True,True,both
GARD:10516,True,True,both
GARD:10517,True,True,both
GARD:10518,True,True,both
GARD:1052,True,True,both
GARD:10520,True,True,both
GARD:10522,True,True,both
GARD:10523,True,True,both
GARD:10524,True,True,both
GARD:10525,True,True,both
GARD:10526,True,True,both
GARD:10528,True,True,both
GARD:10529,True,True,both
GARD:1053,True,True,both
GARD:10533,True,True,both
GARD:10536,True,True,both
GARD:10537,True,True,both
GARD:10538,True,True,both
GARD:10539,True,True,both
GARD:10541,True,True,both
GARD:10544,True,True,both
GARD:10545,True,True,both
GARD:10546,True,True,both
GARD:10556,True,True,both
GARD:10557,True,True,both
GARD:10559,True,True,both
GARD:10560,True,True,both
GARD:10562,True,True,both
GARD:1057,True,True,both
GARD:10570,True,True,both
GARD:10572,True,True,both
GARD:10573,True,True,both
GARD:10574,True,True,both
GARD:10578,True,True,both
GARD:10579,True,True,both
GARD:1058,True,True,both
GARD:10580,True,True,both
GARD:10581,True,True,both
GARD:10582,True,True,both
GARD:10583,True,True,both
GARD:10584,True,True,both
GARD:10585,True,True,both
GARD:10586,True,True,both
GARD:10587,True,True,both
GARD:10588,True,True,both
GARD:10590,True,True,both
GARD:10591,True,True,both
GARD:10592,True,True,both
GARD:10593,True,True,both
GARD:10594,True,True,both
GARD:10595,True,True,both
GARD:10597,True,True,both
GARD:106,True,True,both
GARD:10602,True,True,both
GARD:10603,True,True,both
GARD:10604,True,True,both
GARD:10605,True,True,both
GARD:10608,True,True,both
GARD:10609,True,True,both
GARD:1061,True,True,both
GARD:10611,True,True,both
GARD:10612,True,True,both
GARD:10614,True,True,both
GARD:10615,True,True,both
GARD:10616,True,True,both
GARD:10617,True,True,both
GARD:10618,True,True,both
GARD:10619,True,True,both
GARD:1062,True,True,both
GARD:10620,True,True,both
GARD:10623,True,True,both
GARD:10624,True,True,both
GARD:10625,True,True,both
GARD:10626,True,True,both
GARD:10627,True,True,both
GARD:10629,True,True,both
GARD:1063,True,True,both
GARD:10630,True,True,both
GARD:10631,True,True,both
GARD:10632,True,True,both
GARD:10633,True,True,both
GARD:10634,True,True,both
GARD:10635,True,True,both
GARD:10637,True,True,both
GARD:10638,True,True,both
GARD:10639,True,True,both
GARD:1064,True,True,both
GARD:10640,True,True,both
GARD:10641,True,True,both
GARD:10642,True,True,both
GARD:10643,True,True,both
GARD:10644,True,True,both
GARD:10645,True,True,both
GARD:10647,True,True,both
GARD:10648,True,True,both
GARD:10649,True,True,both
GARD:10650,True,True,both
GARD:10651,True,True,both
GARD:10652,True,True,both
GARD:10653,True,True,both
GARD:10654,True,True,both
GARD:10655,True,True,both
GARD:10656,True,True,both
GARD:10657,True,True,both
GARD:10658,True,True,both
GARD:10659,True,True,both
GARD:10660,True,True,both
GARD:10661,True,True,both
GARD:10662,True,True,both
GARD:10663,True,True,both
GARD:10664,True,True,both
GARD:10667,True,True,both
GARD:1067,True,True,both
GARD:10670,True,True,both
GARD:10675,True,True,both
GARD:10679,True,True,both
GARD:1068,True,True,both
GARD:10680,True,True,both
GARD:10681,True,True,both
GARD:10682,True,True,both
GARD:10684,True,True,both
GARD:10686,True,True,both
GARD:10688,True,True,both
GARD:1069,True,True,both
GARD:10691,True,True,both
GARD:10692,True,True,both
GARD:10693,True,True,both
GARD:10694,True,True,both
GARD:10695,True,True,both
GARD:10696,True,True,both
GARD:10697,True,True,both
GARD:10698,True,True,both
GARD:10699,True,True,both
GARD:10700,True,True,both
GARD:10701,True,True,both
GARD:10704,True,True,both
GARD:10705,True,True,both
GARD:10706,True,True,both
GARD:10707,True,True,both
GARD:10708,True,True,both
GARD:1071,True,True,both
GARD:10710,True,True,both
GARD:10711,True,True,both
GARD:10713,True,True,both
GARD:10714,True,True,both
GARD:10716,True,True,both
GARD:10719,True,True,both
GARD:1072,True,True,both
GARD:10726,True,True,both
GARD:10727,True,True,both
GARD:10728,True,True,both
GARD:10729,True,True,both
GARD:10730,True,True,both
GARD:10731,True,True,both
GARD:10732,True,True,both
GARD:10734,True,True,both
GARD:10738,True,True,both
GARD:10739,True,True,both
GARD:10740,True,True,both
GARD:10741,True,True,both
GARD:10744,True,True,both
GARD:10752,True,True,both
GARD:10753,True,True,both
GARD:10754,True,True,both
GARD:10755,True,True,both
GARD:10756,True,True,both
GARD:10758,True,True,both
GARD:10760,True,True,both
GARD:10761,True,True,both
GARD:10762,True,True,both
GARD:10763,True,True,both
GARD:10764,True,True,both
GARD:10766,True,True,both
GARD:10767,True,True,both
GARD:10768,True,True,both
GARD:10769,True,True,both
GARD:1077,True,True,both
GARD:10771,True,True,both
GARD:10772,True,True,both
GARD:10773,True,True,both
GARD:10774,True,True,both
GARD:10775,True,True,both
GARD:10777,True,True,both
GARD:10778,True,True,both
GARD:10779,True,True,both
GARD:1078,True,True,both
GARD:10780,True,True,both
GARD:10781,True,True,both
GARD:10782,True,True,both
GARD:10783,True,True,both
GARD:10784,True,True,both
GARD:10785,True,True,both
GARD:10786,True,True,both
GARD:10788,True,True,both
GARD:10790,True,True,both
GARD:10791,True,True,both
GARD:10792,True,True,both
GARD:10793,True,True,both
GARD:10794,True,True,both
GARD:10795,True,True,both
GARD:10796,True,True,both
GARD:108,True,True,both
GARD:10801,True,True,both
GARD:10803,True,True,both
GARD:10804,True,True,both
GARD:10805,True,True,both
GARD:10806,True,True,both
GARD:10808,True,True,both
GARD:10809,True,True,both
GARD:10810,True,True,both
GARD:10813,True,True,both
GARD:10814,True,True,both
GARD:10816,True,True,both
GARD:10817,True,True,both
GARD:10818,True,True,both
GARD:10821,True,True,both
GARD:10822,True,True,both
GARD:10823,True,True,both
GARD:10824,True,True,both
GARD:10828,True,True,both
GARD:10829,True,True,both
GARD:10830,True,True,both
GARD:10837,True,True,both
GARD:10839,True,True,both
GARD:1084,True,True,both
GARD:10841,True,True,both
GARD:10846,True,True,both
GARD:10855,True,True,both
GARD:10860,True,True,both
GARD:10865,True,True,both
GARD:10867,True,True,both
GARD:10870,True,True,both
GARD:10871,True,True,both
GARD:10872,True,True,both
GARD:10875,True,True,both
GARD:10876,True,True,both
GARD:10877,True,True,both
GARD:10878,True,True,both
GARD:10879,True,True,both
GARD:10880,True,True,both
GARD:10881,True,True,both
GARD:10882,True,True,both
GARD:10883,True,True,both
GARD:10884,True,True,both
