subject_id,in_gard,in_mondo,status
GARD:6666,True,True,both
GARD:19755,True,False,gard
GARD:10562,True,False,gard
GARD:18789,True,False,gard
GARD:10094,True,True,both
GARD:21386,True,False,gard
GARD:8435,True,True,both
GARD:705,True,True,both
GARD:6322,True,True,both
GARD:20939,True,False,gard
GARD:22377,True,False,gard
GARD:12491,True,False,gard
GARD:16041,True,False,gard
GARD:3845,False,True,mondo
GARD:15642,True,False,gard
GARD:15255,True,False,gard
GARD:21049,True,False,gard
GARD:21036,True,False,gard
GARD:19187,True,False,gard
GARD:18332,True,False,gard
GARD:3230,True,True,both
GARD:19903,True,False,gard
GARD:9514,True,False,gard
GARD:7563,True,True,both
GARD:12062,True,False,gard
GARD:21617,True,False,gard
GARD:9292,True,True,both
GARD:12758,True,False,gard
GARD:2897,True,False,gard
GARD:17271,True,False,gard
GARD:15506,True,False,gard
GARD:22249,True,False,gard
GARD:19932,True,False,gard
GARD:17647,True,False,gard
GARD:16004,True,False,gard
GARD:10660,True,False,gard
GARD:10739,True,True,both
GARD:10313,True,False,gard
GARD:18948,True,False,gard
GARD:6233,True,True,both
GARD:21999,True,False,gard
GARD:19257,True,False,gard
GARD:9684,True,False,gard
GARD:3971,True,False,gard
GARD:4509,True,False,gard
GARD:22187,True,False,gard
GARD:15439,True,False,gard
GARD:17061,True,False,gard
GARD:21978,True,False,gard
GARD:21199,True,False,gard
GARD:20847,True,False,gard
GARD:18153,True,False,gard
GARD:5398,True,False,gard
GARD:10875,True,True,both
GARD:16521,True,False,gard
GARD:18013,True,False,gard
GARD:19075,True,False,gard
GARD:12528,True,False,gard
GARD:16619,True,False,gard
GARD:22232,True,False,gard
GARD:20008,True,False,gard
GARD:18893,True,False,gard
GARD:22220,True,False,gard
GARD:8754,True,True,both
GARD:16558,True,False,gard
GARD:20640,True,False,gard
GARD:10109,True,True,both
GARD:18091,True,False,gard
GARD:3328,True,False,gard
GARD:16774,True,False,gard
GARD:7468,True,True,both
GARD:22268,True,False,gard
GARD:15629,True,False,gard
GARD:16012,True,False,gard
GARD:21264,True,False,gard
GARD:20382,True,False,gard
GARD:3071,True,False,gard
GARD:3868,True,False,gard
GARD:2417,True,False,gard
GARD:15970,True,False,gard
GARD:18838,True,False,gard
GARD:10619,True,True,both
GARD:363,True,True,both
GARD:15359,True,False,gard
GARD:18445,True,False,gard
GARD:18852,True,False,gard
